tau (fs),Oscillatory component,Cation Signal,Baseline
11660.06,-41.56,2591.20,2632.76
11680.07,63.12,2696.20,2633.08
11700.10,-55.41,2578.00,2633.41
11720.07,26.45,2660.20,2633.75
11740.07,-1.51,2632.60,2634.11
11760.09,42.52,2677.00,2634.48
11780.05,41.53,2676.40,2634.87
11800.14,66.33,2701.60,2635.27
11820.12,56.32,2692.00,2635.68
11840.14,45.70,2681.80,2636.10
11860.07,-14.13,2622.40,2636.53
11880.09,-22.98,2614.00,2636.98
11900.05,2.96,2640.40,2637.44
11920.10,-35.31,2602.60,2637.91
11940.12,-41.79,2596.60,2638.39
11960.14,-82.49,2556.40,2638.89
11980.07,-150.19,2489.20,2639.39
12000.05,-48.71,2591.20,2639.91
12020.05,-89.44,2551.00,2640.44
12040.11,-1.78,2639.20,2640.98
12060.10,-10.74,2630.80,2641.54
12080.14,28.30,2670.40,2642.10
12100.10,135.13,2777.80,2642.67
12120.07,16.34,2659.60,2643.26
12140.08,99.75,2743.60,2643.85
12160.08,-61.65,2582.80,2644.45
12180.10,-12.47,2632.60,2645.07
12200.18,54.71,2700.40,2645.69
12220.15,61.88,2708.20,2646.32
12240.14,6.04,2653.00,2646.96
12260.10,-84.61,2563.00,2647.61
12280.04,-105.67,2542.60,2648.27
12300.04,-78.13,2570.80,2648.93
12320.10,-45.81,2603.80,2649.61
12340.13,18.91,2669.20,2650.29
12360.13,31.42,2682.40,2650.98
12380.12,0.72,2652.40,2651.68
12400.05,0.02,2652.40,2652.38
12420.08,41.31,2694.40,2653.09
12440.09,137.79,2791.60,2653.81
12460.13,66.87,2721.40,2654.53
12480.17,-35.26,2620.00,2655.26
12500.12,45.60,2701.60,2656.00
12520.06,-22.94,2633.80,2656.74
12540.09,-39.29,2618.20,2657.49
12560.05,-26.24,2632.00,2658.24
12580.13,6.00,2665.00,2659.00
12600.13,-11.57,2648.20,2659.77
12620.17,47.06,2707.60,2660.54
12640.15,69.69,2731.00,2661.31
12660.12,28.11,2690.20,2662.09
12680.09,114.33,2777.20,2662.87
12700.10,-8.26,2655.40,2663.66
12720.13,90.55,2755.00,2664.45
12740.13,-3.25,2662.00,2665.25
12760.12,-20.25,2645.80,2666.05
12780.16,-26.45,2640.40,2666.85
12800.09,4.54,2672.20,2667.66
12820.10,-29.28,2639.20,2668.48
12840.13,-37.29,2632.00,2669.29
12860.16,17.69,2687.80,2670.11
12880.14,-78.54,2592.40,2670.94
12900.16,-16.37,2655.40,2671.77
12920.11,21.80,2694.40,2672.60
12940.10,30.56,2704.00,2673.44
12960.09,-17.08,2657.20,2674.28
12980.09,24.68,2699.80,2675.12
13000.12,46.03,2722.00,2675.97
13020.17,33.78,2710.60,2676.82
13040.11,79.72,2757.40,2677.68
13060.05,45.86,2724.40,2678.54
13080.03,-31.80,2647.60,2679.40
13100.06,3.34,2683.60,2680.26
13120.15,-37.13,2644.00,2681.13
13140.18,-48.80,2633.20,2682.00
13160.18,-20.87,2662.00,2682.87
13180.12,56.85,2740.60,2683.75
13200.10,-110.23,2574.40,2684.63
13220.07,-120.72,2564.80,2685.52
13240.07,-109.60,2576.80,2686.40
13260.12,-48.09,2639.20,2687.29
13280.15,17.01,2705.20,2688.19
13300.17,56.32,2745.40,2689.08
13320.11,50.02,2740.00,2689.98
13340.06,46.12,2737.00,2690.88
13360.08,-5.78,2686.00,2691.78
13380.07,37.71,2730.40,2692.69
13400.17,119.61,2813.20,2693.59
13420.17,6.50,2701.00,2694.50
13440.13,-139.01,2556.40,2695.41
13460.09,-40.92,2655.40,2696.32
13480.10,13.97,2711.20,2697.23
13500.07,-73.35,2624.80,2698.15
13520.08,43.94,2743.00,2699.06
13540.13,8.82,2708.80,2699.98
13560.12,-7.70,2693.20,2700.90
13580.14,114.99,2816.80,2701.81
13600.06,58.87,2761.60,2702.73
13620.08,34.55,2738.20,2703.65
13640.17,27.03,2731.60,2704.57
13660.16,-41.09,2664.40,2705.49
13680.23,7.19,2713.60,2706.41
13700.21,-40.53,2666.80,2707.33
13720.14,22.75,2731.00,2708.25
13740.13,-53.17,2656.00,2709.17
13760.11,-48.09,2662.00,2710.09
13780.18,-8.21,2702.80,2711.01
13800.17,-83.54,2628.40,2711.94
13820.21,-15.46,2697.40,2712.86
13840.13,90.42,2804.20,2713.78
13860.13,99.10,2813.80,2714.70
13880.08,-24.22,2691.40,2715.62
13900.15,48.66,2765.20,2716.54
13920.22,52.54,2770.00,2717.46
13940.22,48.03,2766.40,2718.37
13960.18,63.91,2783.20,2719.29
13980.17,-59.41,2660.80,2720.21
14000.11,-74.72,2646.40,2721.12
14020.10,-9.04,2713.00,2722.04
14040.10,64.45,2787.40,2722.95
14060.18,-25.26,2698.60,2723.86
14080.18,-37.58,2687.20,2724.78
14100.11,-57.09,2668.60,2725.69
14120.17,-13.00,2713.60,2726.60
14140.08,-28.91,2698.60,2727.51
14160.09,46.98,2775.40,2728.42
14180.11,29.87,2759.20,2729.33
14200.13,15.17,2745.40,2730.23
14220.17,-25.94,2705.20,2731.14
14240.15,40.36,2772.40,2732.04
14260.13,-10.35,2722.60,2732.95
14280.12,26.55,2760.40,2733.85
14300.12,-21.15,2713.60,2734.75
14320.14,45.75,2781.40,2735.65
14340.12,-33.74,2702.80,2736.54
14360.11,16.36,2753.80,2737.44
14380.15,22.67,2761.00,2738.33
14400.08,45.77,2785.00,2739.23
14420.08,-55.92,2684.20,2740.12
14440.10,-85.61,2655.40,2741.01
14460.12,50.31,2792.20,2741.89
